InvoiceNo,InvoiceDate,CustomerID
536365,2010-12-01 08:26:00,17850.0
536366,2010-12-01 08:28:00,17850.0
536367,2010-12-01 08:34:00,13047.0
536368,2010-12-01 08:34:00,13047.0
536369,2010-12-01 08:35:00,13047.0
536370,2010-12-01 08:45:00,12583.0
536371,2010-12-01 09:00:00,13748.0
536372,2010-12-01 09:01:00,17850.0
536373,2010-12-01 09:02:00,17850.0
536374,2010-12-01 09:09:00,15100.0
536375,2010-12-01 09:32:00,17850.0
536376,2010-12-01 09:32:00,15291.0
536377,2010-12-01 09:34:00,17850.0
536378,2010-12-01 09:37:00,14688.0
536380,2010-12-01 09:41:00,17809.0
536381,2010-12-01 09:41:00,15311.0
C536379,2010-12-01 09:41:00,14527.0
536382,2010-12-01 09:45:00,16098.0
C536383,2010-12-01 09:49:00,15311.0
536384,2010-12-01 09:53:00,18074.0
536385,2010-12-01 09:56:00,17420.0
536386,2010-12-01 09:57:00,16029.0
536387,2010-12-01 09:58:00,16029.0
536388,2010-12-01 09:59:00,16250.0
536389,2010-12-01 10:03:00,12431.0
536390,2010-12-01 10:19:00,17511.0
C536391,2010-12-01 10:24:00,17548.0
536392,2010-12-01 10:29:00,13705.0
536393,2010-12-01 10:37:00,13747.0
536394,2010-12-01 10:39:00,13408.0
536395,2010-12-01 10:47:00,13767.0
536396,2010-12-01 10:51:00,17850.0
536397,2010-12-01 10:51:00,17924.0
536398,2010-12-01 10:52:00,13448.0
536399,2010-12-01 10:52:00,17850.0
536400,2010-12-01 10:53:00,13448.0
536401,2010-12-01 11:21:00,15862.0
536402,2010-12-01 11:22:00,15513.0
536403,2010-12-01 11:27:00,12791.0
536404,2010-12-01 11:29:00,16218.0
536405,2010-12-01 11:32:00,14045.0
536406,2010-12-01 11:33:00,17850.0
536407,2010-12-01 11:34:00,17850.0
536408,2010-12-01 11:41:00,14307.0
536409,2010-12-01 11:45:00,17908.0
536412,2010-12-01 11:49:00,17920.0
536414,2010-12-01 11:52:00,
536415,2010-12-01 11:57:00,12838.0
536416,2010-12-01 11:58:00,13255.0
536420,2010-12-01 12:03:00,16583.0
536423,2010-12-01 12:08:00,18085.0
536425,2010-12-01 12:08:00,13758.0
536437,2010-12-01 12:12:00,13694.0
536446,2010-12-01 12:15:00,15983.0
536460,2010-12-01 12:22:00,14849.0
536463,2010-12-01 12:22:00,14849.0
536464,2010-12-01 12:23:00,17968.0
536466,2010-12-01 12:23:00,14849.0
536477,2010-12-01 12:27:00,16210.0
536488,2010-12-01 12:31:00,17897.0
536500,2010-12-01 12:35:00,17377.0
536502,2010-12-01 12:36:00,16552.0
536508,2010-12-01 12:38:00,17181.0
C536506,2010-12-01 12:38:00,17897.0
536514,2010-12-01 12:40:00,17951.0
536520,2010-12-01 12:43:00,14729.0
536521,2010-12-01 12:48:00,12748.0
536522,2010-12-01 12:49:00,15012.0
536523,2010-12-01 12:50:00,12868.0
536524,2010-12-01 12:51:00,17572.0
536525,2010-12-01 12:54:00,14078.0
536526,2010-12-01 12:58:00,14001.0
536527,2010-12-01 13:04:00,12662.0
536528,2010-12-01 13:17:00,15525.0
536529,2010-12-01 13:20:00,14237.0
536530,2010-12-01 13:21:00,17905.0
536531,2010-12-01 13:23:00,15485.0
536532,2010-12-01 13:24:00,12433.0
536533,2010-12-01 13:31:00,16955.0
536534,2010-12-01 13:33:00,15350.0
536535,2010-12-01 13:38:00,15605.0
536536,2010-12-01 13:45:00,18144.0
536537,2010-12-01 13:51:00,15922.0
536538,2010-12-01 13:54:00,14594.0
536539,2010-12-01 14:03:00,15165.0
536540,2010-12-01 14:05:00,14911.0
536541,2010-12-01 14:05:00,14911.0
536542,2010-12-01 14:11:00,16456.0
C536543,2010-12-01 14:30:00,17841.0
536544,2010-12-01 14:32:00,
536545,2010-12-01 14:32:00,
536546,2010-12-01 14:33:00,
536547,2010-12-01 14:33:00,
C536548,2010-12-01 14:33:00,12472.0
536549,2010-12-01 14:34:00,
536550,2010-12-01 14:34:00,
536551,2010-12-01 14:34:00,17346.0
536552,2010-12-01 14:34:00,
536553,2010-12-01 14:35:00,
536554,2010-12-01 14:35:00,
536555,2010-12-01 14:37:00,
536556,2010-12-01 14:38:00,17643.0
536557,2010-12-01 14:41:00,17841.0
536558,2010-12-01 14:48:00,
536559,2010-12-01 14:54:00,17873.0
536560,2010-12-01 15:00:00,13093.0
